OTU,THxT1x1Bac,THxT1x2Bac,THxT1x3Bac,THxT21x1Bac,THxT21x2Bac,THxT21x3Bac,THxT3x1Bac,THxT3x2Bac,THxT3x3Bac,THxT7x1Bac,THxT7x2Bac,THxT7x3Bac,sum,Domain,Confidence_domain,Phylum,Confidence_phylum,Class,Confidence_class,Order,Confidence_order,Family,Confidence_family,Genus,Confidence_genus
OTU_11,945,2268,127,11,9,17,532,308,1387,94,95,116,115235,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Pseudoalteromonadaceae,0.99,Pseudoalteromonas,0.99
OTU_12,3530,11281,949,16,21,77,1073,625,2043,506,186,483,90688,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Marinomonas,1
OTU_13,0,1,0,752,972,2893,1,7,19,1658,3275,587,80283,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Thiotrichales,0.78,Piscirickettsiaceae,0.78,Cycloclasticus,0.78
OTU_14,223,804,71,259,587,1081,902,772,2077,2224,1717,5185,71475,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.98,Colwelliaceae,0.96,Colwellia,0.96
OTU_15,1,13,0,14,4,59,11,16,10,1,35,1,68920,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,0.99,Oceanospirillales,0.8,Oceanospirillaceae,0.8,Neptuniibacter,0.38
OTU_16,18,50,1,3,11,39,31,25,32,392,56,153,58600,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Albirhodobacter,0.84
OTU_17,8,89,1,0,0,23,4,1,2,9,0,8,57462,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,1,Campylobacteraceae,1,Arcobacter,1
OTU_18,0,1,0,0,0,56,0,0,0,0,0,0,56314,Bacteria,1,Bacteroidetes,1,Bacteroidetes_incertae_sedis,0.78,Marinifilum,0.78,Marinifilum,0.78,Marinifilum,0.78
OTU_19,29,452,11,3,0,47,434,528,2,98,30,182,55713,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,1,Campylobacteraceae,1,Arcobacter,1
OTU_20,156,1233,60,1228,622,2283,546,420,727,2628,1798,1225,55278,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.36,Pseudoalteromonadaceae,0.2,Algicola,0.18
OTU_21,719,7587,122,7,14,20,98,75,117,149,43,49,55158,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,1,Campylobacteraceae,1,Arcobacter,1
OTU_22,2,21,0,92,103,168,14,47,32,1370,153,342,54703,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Thiotrichales,0.79,Piscirickettsiaceae,0.79,Cycloclasticus,0.79
OTU_23,1032,1874,200,0,11,11,807,1615,2371,43,40,46,52244,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Alteromonadaceae,1,Glaciecola,0.94
OTU_24,2,26,0,415,1029,3260,0,0,1,3346,582,7,49394,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Moraxellaceae,1,Paraperlucidibaca,1
OTU_25,58,475,29,0,60,10,613,2430,1475,706,283,452,48330,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.74,Colwelliaceae,0.74,Colwellia,0.74
OTU_26,40,502,35,12,69,236,109,30,133,220,146,130,45141,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,0.99,Pseudomonadaceae,0.99,Pseudomonas,0.89
OTU_27,54,405,28,13,18,67,216,422,163,272,158,90,43136,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Aliiroseovarius,0.79
OTU_28,1,7,3,4,30,20,12,11,143,71,61,21,42734,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Lacinutrix,0.44
OTU_29,671,1471,189,23,34,61,125,120,255,87,143,77,38631,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Vibrionales,0.99,Vibrionaceae,0.99,Vibrio,0.94
OTU_30,151,525,33,63,107,405,86,53,87,168,154,126,38087,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Colwelliaceae,1,Colwellia,1
OTU_31,0,0,0,18,257,708,0,0,0,266,638,154,34447,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Thiotrichales,0.74,Piscirickettsiaceae,0.74,Cycloclasticus,0.74
OTU_32,94,233,13,4,6,22,12,16,65,21,21,11,31736,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.99,Shewanellaceae,0.94,Shewanella,0.94
OTU_33,1,0,2,1,76,31,15,15,54,22,35,5,30164,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Flavobacterium,0.87
OTU_34,10,209,9,1,1,3,93,562,78,6,30,28,29437,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.92,Oceanospirillaceae,0.91,Oleibacter,0.88
OTU_35,154,1379,83,0,0,1,735,394,606,93,43,35,24344,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Oleispira,1
OTU_36,779,5927,380,0,1,0,400,541,1014,36,17,15,22821,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.97,Oceanospirillaceae,0.93,Oceaniserpentilla,0.91
OTU_37,9,62,7,2,6,20,47,35,87,65,35,52,21056,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Sulfitobacter,1
OTU_38,41,87,11,40,167,333,101,81,332,440,360,962,20877,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Alteromonadaceae,1,Paraglaciecola,1
OTU_39,0,0,0,68,191,186,4,1,2,209,142,131,20093,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Sneathiellales,1,Sneathiellaceae,1,Sneathiella,1
OTU_40,94,1017,80,1327,273,1512,314,150,519,2335,1144,269,19725,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.56,Oceanospirillaceae,0.54,Oleibacter,0.1
OTU_41,31,187,10,35,234,97,27,12,32,156,56,45,19279,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Pseudomonadaceae,1,Pseudomonas,0.93
OTU_42,0,0,0,40,99,1,0,0,0,0,3,8,19120,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,0.99,Thiotrichales,0.31,Piscirickettsiaceae,0.31,Cycloclasticus,0.28
OTU_43,49,838,18,2,0,4,50,48,34,81,17,90,18875,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,1,Campylobacteraceae,1,Arcobacter,1
OTU_44,45,226,15,2,12,55,49,31,45,186,94,102,18721,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Sulfitobacter,0.98
OTU_45,6,189,8,0,0,7,1,1,2,3,2,29,18592,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,1,Campylobacteraceae,0.99,Arcobacter,0.99
OTU_46,0,0,0,0,0,16,0,0,0,0,0,0,18549,Bacteria,1,Bacteroidetes,1,Bacteroidetes_incertae_sedis,0.68,Marinifilum,0.68,Marinifilum,0.68,Marinifilum,0.68
OTU_47,47,647,30,0,3,1,20,298,45,4,4,34,18216,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.34,Alteromonadales_incertae_sedis,0.26,Pseudoteredinibacter,0.23
OTU_48,325,755,66,2,7,3,71,58,294,33,16,22,17872,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.98,Pseudoalteromonadaceae,0.96,Pseudoalteromonas,0.95
OTU_49,421,1028,60,9,13,36,58,51,125,46,47,46,17227,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Vibrionales,1,Vibrionaceae,1,Vibrio,0.88
OTU_50,197,1868,89,1,4,4,30,48,230,23,9,17,16786,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Moraxellaceae,1,Acinetobacter,1
OTU_51,0,0,0,0,0,3,0,0,0,0,0,0,16608,Bacteria,1,Bacteroidetes,1,Bacteroidetes_incertae_sedis,0.7,Marinifilum,0.7,Marinifilum,0.7,Marinifilum,0.7
OTU_52,30,177,6,9,13,63,47,32,41,176,60,97,16565,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Sulfitobacter,0.97
OTU_53,0,0,0,2,0,5,7,4,9,285,140,546,16178,Bacteria,0.99,Cyanobacteria/Chloroplast,0.87,Chloroplast,0.85,Chloroplast,0.85,Chloroplast,0.85,Bangiophyceae,0.5
OTU_54,87,398,53,116,210,225,43,40,110,110,191,81,15926,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Yeosuana,0.29
OTU_55,26,64,3,1,7,13,9,28,67,15,7,6,15851,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.99,Shewanellaceae,0.99,Shewanella,0.99
OTU_56,5,46,1,1,4,68,6,2,6,211,83,126,15720,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Sagittula,0.97
OTU_57,62,443,20,10,24,59,310,175,479,75,107,27,15513,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Amphritea,1
OTU_58,599,5976,316,0,0,0,147,126,320,1,4,2,15276,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,0.99,Oceanospirillales,0.84,Oceanospirillaceae,0.83,Oceaniserpentilla,0.62
OTU_59,0,7,0,38,109,136,11,42,163,82,65,76,15239,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Bizionia,0.99
OTU_60,4,2,0,0,9,4,1,1,1,12,9,14,15028,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Gemmobacter,0.4
OTU_61,14,52,0,14,41,77,22,17,72,75,40,71,14665,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Pseudomonadaceae,1,Pseudomonas,1
OTU_62,7,47,2,6,21,58,47,40,78,40,27,24,13995,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Colwelliaceae,0.97,Colwellia,0.97
OTU_63,0,0,0,53,1819,93,0,0,0,0,3,1,13991,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Gammaproteobacteria_incertae_sedis,0.56,Porticoccus,0.27,Porticoccus,0.27
OTU_64,2,0,0,0,0,0,0,0,0,0,1,0,13828,Bacteria,1,Fusobacteria,1,Fusobacteriia,1,Fusobacteriales,1,Fusobacteriaceae,1,Psychrilyobacter,0.98
OTU_65,32,116,9,10,45,66,28,85,89,274,185,311,13618,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Colwelliaceae,0.87,Thalassotalea,0.87
OTU_66,24,125,10,20,32,139,56,23,93,93,68,54,13389,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Pseudomonadaceae,1,Pseudomonas,0.99
OTU_67,15,118,2,2,2,22,12,38,38,13,43,14,13297,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,0.99,Pseudomonadaceae,0.99,Pseudomonas,0.84
OTU_68,551,4779,302,0,0,0,82,51,197,6,5,0,12970,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.99,Oceanospirillaceae,0.99,Spongiispira,0.88
OTU_69,0,0,0,4,0,15,207,298,2,0,15,10,12309,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,0.98,Campylobacteraceae,0.98,Arcobacter,0.98
OTU_70,61,510,52,0,0,0,2,9,0,2,0,2,12280,Bacteria,1,Proteobacteria,1,Betaproteobacteria,1,Burkholderiales,1,Comamonadaceae,1,Hydrogenophaga,0.78
OTU_71,0,0,0,0,0,0,0,0,0,0,0,1,12277,Bacteria,1,Bacteroidetes,1,Bacteroidetes_incertae_sedis,0.72,Marinifilum,0.72,Marinifilum,0.72,Marinifilum,0.72
OTU_72,1,0,0,0,0,0,0,0,0,0,6,1,12275,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.69,Alteromonadales_incertae_sedis,0.61,Maricurvus,0.46
OTU_73,590,3912,308,0,0,0,308,220,816,26,8,6,12240,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.9,Oceanospirillaceae,0.62,Bermanella,0.38
OTU_74,4,9,1,0,0,0,0,0,0,0,0,1,11981,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Gammaproteobacteria_incertae_sedis,1,Zhongshania,1,Zhongshania,1
OTU_75,11,77,4,0,0,0,7,3,5,1,1,4,11735,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,1,Campylobacteraceae,1,Arcobacter,1
OTU_76,0,8,0,4,62,37,1,0,6,30,18,4,11362,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Vitellibacter,1
OTU_77,4,39,3,1,0,165,2,0,3,1,5,6,11248,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,1,Campylobacteraceae,1,Arcobacter,1
OTU_78,254,1167,79,9,61,53,185,127,422,317,127,86,11233,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Colwelliaceae,1,Colwellia,1
OTU_79,22,128,12,5,9,32,10,13,19,108,43,62,10671,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Halomonadaceae,0.99,Halomonas,0.98
OTU_80,0,17,0,2,1,1,23,32,24,1,3,5,10521,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.97,Colwelliaceae,0.89,Colwellia,0.89
OTU_81,70,497,31,0,0,0,18,37,35,2,5,3,10326,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Oleispira,1
OTU_82,92,497,53,0,0,0,1013,198,2406,30,9,49,10071,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.99,Oceanospirillaceae,0.99,Oleispira,0.99
OTU_83,17,56,3,3,27,1,7,12,22,50,38,43,9395,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.99,Colwelliaceae,0.95,Colwellia,0.95
OTU_84,22,131,15,5,14,3,50,37,30,86,60,96,9215,Bacteria,1,Proteobacteria,0.99,Gammaproteobacteria,0.99,Gammaproteobacteria_incertae_sedis,0.23,Litorivivens,0.15,Litorivivens,0.15
OTU_85,460,1252,110,2,0,0,109,106,282,9,14,16,8898,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Marinomonas,0.97
OTU_86,9,124,2,11,8,24,24,13,83,52,16,21,8707,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Pseudomonadaceae,1,Pseudomonas,0.94
OTU_87,0,3,0,9,101,61,11,11,4,84,56,77,8308,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Thalassobius,0.35
OTU_88,8,163,5,5,18,6,12,100,13,28,8,17,8301,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Neptunomonas,1
OTU_89,365,2324,138,0,0,0,107,188,165,1,0,1,8069,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.58,Hahellaceae,0.28,Kistimonas,0.24
OTU_90,54,354,33,4,7,7,177,319,144,30,17,62,7501,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.98,Oceanospirillaceae,0.98,Amphritea,0.98
OTU_91,112,180,19,6,32,17,48,63,219,101,85,163,7410,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.89,Colwelliaceae,0.75,Thalassomonas,0.49
OTU_92,1,0,0,1,0,5,0,1,3,3,5,0,7314,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Lutibacter,1
OTU_93,101,111,18,2,8,22,10,8,37,31,28,20,7295,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.98,Alteromonadaceae,0.97,Paraglaciecola,0.6
OTU_94,73,394,28,0,0,0,24,258,69,6,5,26,7241,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Cellulophaga,0.54
OTU_95,12,71,4,1,0,0,0,1,2,4,0,0,7162,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Gammaproteobacteria_incertae_sedis,1,Zhongshania,1,Zhongshania,1
OTU_96,5,25,0,1,4,7,9,7,59,20,8,19,7119,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Pseudomonadaceae,1,Pseudomonas,0.96
OTU_97,15,39,0,0,0,0,12,11,45,6,1,3,6940,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.99,Shewanellaceae,0.99,Shewanella,0.99
OTU_98,1,0,0,42,98,435,0,3,0,61,20,3,6609,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Caulobacterales,1,Hyphomonadaceae,1,Hyphomonas,1
OTU_99,8,30,3,0,0,44,5,10,13,9,3,1,6535,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Pseudomonadaceae,1,Pseudomonas,0.99
OTU_100,0,0,0,0,1,12,0,0,1,1,5,1,6313,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Lacinutrix,0.93
OTU_101,0,0,0,1,13,5,2,1,2,18,16,5,6248,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,0.94,Flavobacterium,0.86
OTU_102,155,913,59,1,2,1,24,8,36,13,2,4,6183,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Vibrionales,1,Vibrionaceae,1,Vibrio,0.99
OTU_103,0,1,0,0,0,31,2,3,9,9,0,37,6056,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Mesonia,0.98
OTU_104,9,5,0,0,0,0,48,12,8,10,4,30,5932,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Oceanospirillum,1
OTU_105,6,42,4,0,0,0,2,1,2,0,1,0,5846,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,1,Campylobacteraceae,1,Arcobacter,1
OTU_106,0,0,0,0,18,1,14,15,83,189,24,17,5840,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Flavobacterium,0.79
OTU_107,29,158,11,0,0,0,1,0,0,0,0,1,5795,Bacteria,1,Proteobacteria,0.98,Alphaproteobacteria,0.97,SAR11,0.93,SAR11,0.93,Candidatus Pelagibacter,0.93
OTU_108,29,73,8,0,1,0,9,12,40,4,7,1,5726,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.96,Shewanellaceae,0.95,Shewanella,0.95
OTU_109,5,65,7,0,2,1,75,313,187,39,22,44,5644,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.87,Oceanospirillaceae,0.87,Oleispira,0.86
OTU_110,0,0,0,0,0,1,0,0,0,0,0,0,5531,Bacteria,1,Bacteroidetes,1,Bacteroidetes_incertae_sedis,0.46,Marinifilum,0.46,Marinifilum,0.46,Marinifilum,0.46
OTU_111,597,1621,169,3,1,2,70,23,62,13,8,7,5530,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Marinomonas,1
OTU_112,0,5,0,0,0,32,0,1,12,0,0,1,5430,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,0.93,Moraxellaceae,0.92,Alkanindiges,0.7
OTU_113,0,0,0,1,0,1,0,0,0,2,7,0,5408,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Gammaproteobacteria_incertae_sedis,0.99,Marinicella,0.99,Marinicella,0.99
OTU_114,12,31,10,1,4,7,13,17,39,28,16,8,5407,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Pseudomonadaceae,1,Pseudomonas,1
OTU_115,9,37,0,9,10,65,23,24,27,42,23,11,5301,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.88,Colwelliaceae,0.84,Colwellia,0.84
OTU_116,10,85,4,4,17,15,10,11,44,20,23,26,5190,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.99,Colwelliaceae,0.98,Colwellia,0.98
OTU_117,163,743,45,1,30,9,47,56,71,55,44,16,5078,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Colwelliaceae,1,Colwellia,0.99
OTU_118,70,617,53,1,0,0,9,5,8,2,2,6,4927,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Actinomycetales,1,Microbacteriaceae,0.93,Agrococcus,0.73
OTU_119,2,0,0,0,0,0,384,0,907,0,255,3,4913,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Colwelliaceae,0.85,Colwellia,0.84
OTU_120,120,149,18,0,1,1,13,23,87,14,3,6,4886,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Pseudoalteromonadaceae,0.99,Pseudoalteromonas,0.95
OTU_121,286,1132,105,2,0,4,63,34,99,16,16,26,4861,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Marinomonas,1
OTU_122,12,22,1,7,9,118,5,19,65,13,5,12,4766,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Tenacibaculum,0.37
OTU_123,3,62,1,0,6,0,136,212,113,75,20,31,4536,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Oleispira,1
OTU_124,8,35,1,23,114,248,10,1,28,321,124,139,4419,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Maribacter,1
OTU_125,15,108,14,0,0,6,16,3,3,12,12,13,4310,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Loktanella,0.72
OTU_126,20,32,0,1,1,7,3,9,48,1,2,4,4290,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.94,Shewanellaceae,0.9,Shewanella,0.9
OTU_127,126,1430,121,0,0,0,44,24,83,5,2,4,3977,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.98,Oceanospirillaceae,0.76,Oceaniserpentilla,0.58
OTU_128,1,18,0,1,9,30,10,2,3,44,18,51,3975,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,0.99,Pseudomonadales,0.93,Pseudomonadaceae,0.86,Pseudomonas,0.68
OTU_129,88,493,30,4,20,18,12,8,19,80,22,8,3964,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.99,Oceanospirillaceae,0.99,Marinobacterium,0.99
OTU_130,0,3,0,0,4,22,8,5,6,9,6,7,3945,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Roseovarius,0.77
OTU_131,9,30,0,371,299,188,2,3,1,101,82,39,3938,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,0.57,Hahellaceae,0.28,Hahella,0.28
OTU_132,61,160,5,2,1,2,6,2,13,3,3,5,3891,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Vibrionales,1,Vibrionaceae,1,Photobacterium,0.85
OTU_133,4,6,0,1,0,458,0,3,1,142,34,50,3875,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Aestuariihabitans,0.26
OTU_134,0,0,0,0,0,0,0,0,0,0,0,0,3862,Bacteria,1,Firmicutes,1,Clostridia,0.8,Clostridiales,0.78,Clostridiales_Incertae Sedis XII,0.5,Fusibacter,0.47
